module	annotation_available	top_category	top_subcategory	top_pathway	top_pathway_id	top_fdr	top_significant	priority_theme	priority_category	priority_subcategory	priority_pathway	priority_pathway_id	priority_fdr	priority_significant	priority_is_top	displayed_selection	displayed_category	displayed_subcategory	displayed_pathway	displayed_pathway_id	displayed_fdr	subtitle_text
902	True	Human Diseases	Neurodegenerative disease	Parkinson disease	hsa05012	1.28096868318924e-07	True	metabolism	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	3.24229760419565e-06	True	False	priority_significant_lowest_fdr	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	3.24229760419565e-06	KEGG enrichment: Metabolism / Energy metabolism / Oxidative phosphorylation | FDR=3.24e-06
904	True	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080	0.0515267649336573	False							False	False	overall_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080	0.0515267649336573	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / Neuroactive ligand-receptor interaction | FDR=0.052
905	True	Organismal Systems	Nervous system	Synaptic vesicle cycle	hsa04721	1.79151979235198e-08	True	infection	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	hsa05120	3.3008689446832e-06	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	hsa05120	3.3008689446832e-06	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Epithelial cell signaling in Helicobacter pylori infection | FDR=3.30e-06
906	True	Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption	hsa04962	0.0407450801241202	True							False	False	overall_lowest_fdr	Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption	hsa04962	0.0407450801241202	KEGG enrichment: Organismal Systems / Excretory system / Vasopressin-regulated water reabsorption | FDR=0.041
913	True	Organismal Systems	Endocrine system	Aldosterone synthesis and secretion	hsa04925	0.0325549924103636	True	lipid metabolism	Metabolism	Lipid metabolism	Glycerolipid metabolism	hsa00561	0.0336172701719661	True	False	priority_significant_lowest_fdr	Metabolism	Lipid metabolism	Glycerolipid metabolism	hsa00561	0.0336172701719661	KEGG enrichment: Metabolism / Lipid metabolism / Glycerolipid metabolism | FDR=0.034
914	True	Organismal Systems	Development and regeneration	Axon guidance	hsa04360	0.140178407161305	False							False	False	overall_lowest_fdr	Organismal Systems	Development and regeneration	Axon guidance	hsa04360	0.140178407161305	KEGG enrichment: Organismal Systems / Development and regeneration / Axon guidance | FDR=0.140
916	True	Organismal Systems	Development and regeneration	Axon guidance	hsa04360	0.232116765601683	False							False	False	overall_lowest_fdr	Organismal Systems	Development and regeneration	Axon guidance	hsa04360	0.232116765601683	KEGG enrichment: Organismal Systems / Development and regeneration / Axon guidance | FDR=0.232
918	True	Organismal Systems	Digestive system	Fat digestion and absorption	hsa04975	0.202018022201547	False							False	False	overall_lowest_fdr	Organismal Systems	Digestive system	Fat digestion and absorption	hsa04975	0.202018022201547	KEGG enrichment: Organismal Systems / Digestive system / Fat digestion and absorption | FDR=0.202
921	True	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080	0.0011360949664726	True	metabolism	Human Diseases	Endocrine and metabolic disease	Cushing syndrome	hsa04934	0.0142090057354034	True	False	priority_significant_lowest_fdr	Human Diseases	Endocrine and metabolic disease	Cushing syndrome	hsa04934	0.0142090057354034	KEGG enrichment: Human Diseases / Endocrine and metabolic disease / Cushing syndrome | FDR=0.014
923	True	Environmental Information Processing	Signaling molecules and interaction	IgSF CAM signaling	hsa04517	1.30484881096555e-05	True							False	False	overall_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	IgSF CAM signaling	hsa04517	1.30484881096555e-05	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / IgSF CAM signaling | FDR=1.30e-05
924	True	Cellular Processes	Cellular community - eukaryotes	Gap junction	hsa04540	0.360198125935692	False							False	False	overall_lowest_fdr	Cellular Processes	Cellular community - eukaryotes	Gap junction	hsa04540	0.360198125935692	KEGG enrichment: Cellular Processes / Cellular community - eukaryotes / Gap junction | FDR=0.360
925	True	Organismal Systems	Sensory system	Olfactory transduction	hsa04740	0.0927851123228407	False							False	False	overall_lowest_fdr	Organismal Systems	Sensory system	Olfactory transduction	hsa04740	0.0927851123228407	KEGG enrichment: Organismal Systems / Sensory system / Olfactory transduction | FDR=0.093
930	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.198171435896555	False							False	False	overall_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.198171435896555	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=0.198
932	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.52281224175454	False							False	False	overall_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.52281224175454	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=0.523
933	True	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway	hsa04151	0.0106149944318488	True	infection	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0340651805208858	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0340651805208858	KEGG enrichment: Human Diseases / Infectious disease: viral / Human papillomavirus infection | FDR=0.034
935	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	1.51977330095201e-11	True	metabolism	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	1.51977330095201e-11	True	True	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	1.51977330095201e-11	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=1.52e-11
937	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	4.23721972198605e-06	True	metabolism	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	4.23721972198605e-06	True	True	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	4.23721972198605e-06	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=4.24e-06
938	True	Cellular Processes	Transport and catabolism	Peroxisome	hsa04146	0.0035740712929203	True	metabolism	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	hsa00730	0.0075621916808818	True	False	priority_significant_lowest_fdr	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	hsa00730	0.0075621916808818	KEGG enrichment: Metabolism / Metabolism of cofactors and vitamins / Thiamine metabolism | FDR=0.008
947	True	Organismal Systems	Endocrine system	Thyroid hormone synthesis	hsa04918	0.0026103179128727	True							False	False	overall_lowest_fdr	Organismal Systems	Endocrine system	Thyroid hormone synthesis	hsa04918	0.0026103179128727	KEGG enrichment: Organismal Systems / Endocrine system / Thyroid hormone synthesis | FDR=0.003
951	True	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	hsa00260	0.0003442397044028	True	metabolism	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	hsa00260	0.0003442397044028	True	True	priority_significant_lowest_fdr	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	hsa00260	0.0003442397044028	KEGG enrichment: Metabolism / Amino acid metabolism / Glycine, serine and threonine metabolism | FDR=3.44e-04
954	True	Genetic Information Processing	Transcription	Spliceosome	hsa03040	0.0003814429409817	True							False	False	overall_lowest_fdr	Genetic Information Processing	Transcription	Spliceosome	hsa03040	0.0003814429409817	KEGG enrichment: Genetic Information Processing / Transcription / Spliceosome | FDR=3.81e-04
958	True	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	hsa00563	0.0005150105767122	True	metabolism	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	hsa00563	0.0005150105767122	True	True	priority_significant_lowest_fdr	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	hsa00563	0.0005150105767122	KEGG enrichment: Metabolism / Glycan biosynthesis and metabolism / Glycosylphosphatidylinositol (GPI)-anchor biosynthesis | FDR=5.15e-04
