module_definition	module	component	component_class	n_features	n_edges	mdc	log2_mdc	direction	p_loss_sample	p_loss_gene	q_loss_sample	q_loss_gene	q_loss_max	p_gain_sample	p_gain_gene	q_gain_sample	q_gain_gene	q_gain_max	directional_p_sample	directional_p_gene	directional_fdr	significant_fdr_05	significant_fdr_10	component_label
control_derived	763	CT_AC__DLPFC	CT	992	108794	0.790340598727458	-0.339453575522625	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	763	CT_AC__PCGBA23	CT	992	84322	0.809202772483618	-0.305426832033289	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	763	CT_DLPFC__PCGBA23	CT	992	129653	0.881580382670795	-0.181835974129891	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	768	TS_AC	TS	297	7750	1.19703333972614	0.259463334727306	Higher in AD	0.0049751243781094	0.0049751243781094	0.0823156942559928	0.0823156942559928	0.0823156942559928	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0823156942559928	False	True	TS: AC
control_derived	768	TS_DLPFC	TS	297	3655	1.19958681489627	0.262537570210004	Higher in AD	0.0049751243781094	0.0447761194029851	0.008401389280015	0.801492537313433	0.801492537313433	1.0	0.960199004975124	1.0	0.99927687145667	1.0	0.0049751243781094	0.0447761194029851	0.801492537313433	False	False	TS: DLPFC
control_derived	768	TS_PCGBA23	TS	297	3655	1.03197147952119	0.0454030997128033	Higher in AD	1.0	0.746268656716418	1.0	1.0	1.0	0.0049751243781094	0.258706467661692	0.0078241272271123	0.363373969845429	0.363373969845429	1.0	0.746268656716418	1.0	False	False	TS: PCG
control_derived	768	CT_AC__DLPFC	CT	297	10750	0.756636141386205	-0.402328405265407	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	768	CT_AC__PCGBA23	CT	297	10750	0.794864242578974	-0.331219615977932	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	768	CT_DLPFC__PCGBA23	CT	297	7396	1.02223196898042	0.031722615574522	Higher in AD	0.0099502487562189	0.890547263681592	0.105940883816213	1.0	1.0	0.995024875621891	0.114427860696517	1.0	0.136259492013616	1.0	0.0099502487562189	0.890547263681592	1.0	False	False	CT: DLPFC - PCG
control_derived	771	TS_AC	TS	1162	47895	1.04565059648792	0.0644008564374093	Higher in AD	0.0049751243781094	0.0149253731343284	0.0823156942559928	0.22636815920398	0.22636815920398	1.0	0.990049751243781	1.0	1.0	1.0	0.0049751243781094	0.0149253731343284	0.22636815920398	False	False	TS: AC
