cluster_id	cluster_size_expanded	term	p	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	fdr	significant	neglog10_p	neglog10_fdr	pathway_id	pathway_num	pathway_name	category_level1	category_level2
112	198	KEGG_hsa04216	0.0089826912891097	3	111	37	51873	3	2	1	0	ENSG00000167996(AC),ENSG00000167996(DLPFC),ENSG00000197548(AC)	0.0359848722850405	True	2.046593525593367	1.443880034340962	hsa04216	4216	Ferroptosis - Homo sapiens (human)	Cellular Processes	Cell growth and death
112	198	KEGG_hsa04217	0.0119112129065342	5	354	118	51873	3	2	2	1	ENSG00000162711(AC),ENSG00000164342(DLPFC),ENSG00000164342(PCGBA23),ENSG00000167996(AC),ENSG00000167996(DLPFC)	0.0359848722850405	True	1.9240440125059417	1.443880034340962	hsa04217	4217	Necroptosis - Homo sapiens (human)	Cellular Processes	Cell growth and death
112	198	KEGG_hsa01232	0.012700543159426	4	234	78	51873	3	0	3	1	ENSG00000047230(DLPFC),ENSG00000093072(DLPFC),ENSG00000093072(PCGBA23),ENSG00000138185(DLPFC)	0.0359848722850405	True	1.896177705335592	1.443880034340962	hsa01232	1232	Nucleotide metabolism - Homo sapiens (human)	Metabolism	Global and overview maps
60	378	KEGG_hsa04510	0.0222799137923121	9	558	186	51873	3	3	3	3	ENSG00000125753(PCGBA23),ENSG00000128340(DLPFC),ENSG00000134531(DLPFC),ENSG00000137801(AC),ENSG00000137801(DLPFC),ENSG00000137801(PCGBA23),ENSG00000143398(PCGBA23),ENSG00000160691(AC),ENSG00000177885(AC)	0.0361295899334791	True	1.652086493911036	1.4421369675943874	hsa04510	4510	Focal adhesion - Homo sapiens (human)	Cellular Processes	Cellular community - eukaryotes
91	167	KEGG_hsa05031	0.018097491477471	3	171	57	51873	3	3	0	0	ENSG00000069535(AC),ENSG00000182158(AC),ENSG00000213639(AC)	0.036194982954942	True	1.7423816192188222	1.441351623554841	hsa05031	5031	Amphetamine addiction - Homo sapiens (human)	Human Diseases	Substance dependence
1138	76	KEGG_hsa04270	0.0115386526332213	3	318	106	51873	3	0	1	2	ENSG00000101306(DLPFC),ENSG00000101335(PCGBA23),ENSG00000133392(PCGBA23)	0.0365390666718677	True	1.937844900722739	1.4372425501535535	hsa04270	4270	Vascular smooth muscle contraction - Homo sapiens (human)	Organismal Systems	Circulatory system
54	376	KEGG_hsa00564	0.0117624674961306	6	258	86	51873	3	3	1	2	ENSG00000120992(AC),ENSG00000144837(AC),ENSG00000144837(DLPFC),ENSG00000144837(PCGBA23),ENSG00000169692(AC),ENSG00000169692(PCGBA23)	0.0365476668629772	True	1.9295015636727093	1.43714034239631	hsa00564	564	Glycerophospholipid metabolism - Homo sapiens (human)	Metabolism	Lipid metabolism
768	296	KEGG_hsa03450	0.0011422964729621	3	36	12	51873	3	1	1	1	ENSG00000113522(AC),ENSG00000113522(DLPFC),ENSG00000113522(PCGBA23)	0.0365534871347875	True	2.94222116416266	1.4370711858427538	hsa03450	3450	Non-homologous end-joining - Homo sapiens (human)	Genetic Information Processing	Replication and repair
1110	460	KEGG_hsa05160	0.0049505737705774	9	357	119	51873	3	1	5	3	ENSG00000115415(DLPFC),ENSG00000115415(PCGBA23),ENSG00000134001(AC),ENSG00000134001(DLPFC),ENSG00000134001(PCGBA23),ENSG00000168036(DLPFC),ENSG00000168036(PCGBA23),ENSG00000213281(DLPFC),ENSG00000221914(DLPFC)	0.0366065487172921	True	2.305344463499799	1.436441214677347	hsa05160	5160	Hepatitis C - Homo sapiens (human)	Human Diseases	Infectious disease: viral
1110	460	KEGG_hsa05235	0.0051477959133692	7	234	78	51873	3	2	3	2	ENSG00000115415(DLPFC),ENSG00000115415(PCGBA23),ENSG00000123685(AC),ENSG00000123685(DLPFC),ENSG00000198821(PCGBA23),ENSG00000213281(DLPFC),ENSG00000243414(AC)	0.0366065487172921	True	2.288378679221909	1.436441214677347	hsa05235	5235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	Human Diseases	Cancer: overview
1143	81	KEGG_hsa05016	0.0101137144788967	5	837	279	51873	3	3	1	1	ENSG00000109819(AC),ENSG00000126267(AC),ENSG00000140990(PCGBA23),ENSG00000154723(DLPFC),ENSG00000198793(AC)	0.0366623994452931	True	1.9950893111335632	1.4357791151580452	hsa05016	5016	Huntington disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease
1143	81	KEGG_hsa05415	0.0112807382908594	4	555	185	51873	3	2	1	1	ENSG00000126267(AC),ENSG00000140990(PCGBA23),ENSG00000154723(DLPFC),ENSG00000198793(AC)	0.0366623994452931	True	1.94766247613692	1.4357791151580452	hsa05415	5415	Diabetic cardiomyopathy - Homo sapiens (human)	Human Diseases	Cardiovascular disease
105	248	KEGG_hsa04071	0.0071441230315839	6	351	117	51873	3	3	2	1	ENSG00000136238(AC),ENSG00000136238(DLPFC),ENSG00000143418(DLPFC),ENSG00000143753(AC),ENSG00000143753(PCGBA23),ENSG00000166311(AC)	0.0366731648954645	True	2.146051074909272	1.4356516087924711	hsa04071	4071	Sphingolipid signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction
751	706	KEGG_hsa01522	0.0038962999090839	10	267	89	51873	3	0	6	4	ENSG00000112062(DLPFC),ENSG00000112062(PCGBA23),ENSG00000115904(DLPFC),ENSG00000121281(DLPFC),ENSG00000121281(PCGBA23),ENSG00000138031(DLPFC),ENSG00000141027(PCGBA23),ENSG00000162104(DLPFC),ENSG00000174775(PCGBA23),ENSG00000197122(DLPFC)	0.0367072465118964	True	2.4093476216478096	1.4352481916207456	hsa01522	1522	Endocrine resistance - Homo sapiens (human)	Human Diseases	Drug resistance: antineoplastic
1110	460	KEGG_hsa00270	0.0054542362701529	5	126	42	51873	3	2	1	2	ENSG00000101444(AC),ENSG00000101444(DLPFC),ENSG00000116649(AC),ENSG00000116649(PCGBA23),ENSG00000134333(PCGBA23)	0.0367443285568197	True	2.263266052936167	1.434809684241127	hsa00270	270	Cysteine and methionine metabolism - Homo sapiens (human)	Metabolism	Amino acid metabolism
28	541	KEGG_hsa04012	0.0153123693155921	7	246	82	51873	3	2	2	3	ENSG00000130669(PCGBA23),ENSG00000160691(DLPFC),ENSG00000160691(PCGBA23),ENSG00000177606(AC),ENSG00000177606(DLPFC),ENSG00000177606(PCGBA23),ENSG00000187840(AC)	0.0367496863574211	True	1.814957604789965	1.434746363078359	hsa04012	4012	ErbB signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction
933	91	KEGG_hsa00230	0.0210303862078598	3	333	111	51873	3	0	3	0	ENSG00000073417(DLPFC),ENSG00000133256(DLPFC),ENSG00000154678(DLPFC)	0.0368031758637547	True	1.6771527517358238	1.4341147030495294	hsa00230	230	Purine metabolism - Homo sapiens (human)	Metabolism	Nucleotide metabolism
