module	module_size_mapped	n_ts_edges	n_ct_edges	mdc_total	log2_mdc_total	direction_total	directional_fdr_total	significant_total_fdr05	significant_total_fdr10	mdc_ts	log2_mdc_ts	direction_ts	directional_fdr_ts	significant_ts_fdr05	significant_ts_fdr10	mdc_ct	log2_mdc_ct	direction_ct	directional_fdr_ct	significant_ct_fdr05	significant_ct_fdr10	ts_minus_ct_log2_mdc	any_significant_fdr05	any_significant_fdr10
729	572	100497	62809	0.930259	-0.10429565179102218	Higher in Control	0.01285	True	True	0.966858	-0.04862407461534302	Higher in Control	0.01623	True	True	0.610907	-0.7109753234372387	Higher in Control	0.005541	True	True	0.6623512488218957	True	True
732	124	3937	3689	0.804818	-0.3132655230685532	Higher in Control	0.006657	True	True	0.979097	-0.030476298912653906	Higher in Control	0.5042	False	False	0.34901	-1.5186597210778703	Higher in Control	0.005541	True	True	1.4881834221652164	True	True
733	161	4536	8344	0.601833	-0.7325648794905106	Higher in Control	0.006657	True	True	0.818545	-0.2888663629866333	Higher in Control	0.008813	True	True	0.448429	-1.157048514328065	Higher in Control	0.005541	True	True	0.8681821513414318	True	True
734	170	5854	8511	0.878406	-0.18704018610358356	Higher in Control	0.01901	True	True	1.177688	0.2359573825709047	Higher in AD	0.5141	False	False	0.486226	-1.0403010541160398	Higher in Control	0.005541	True	True	1.2762584366869445	True	True
738	391	26769	49476	0.550973	-0.8599464724983945	Higher in Control	0.006657	True	True	0.815888	-0.2935569732476313	Higher in Control	0.008813	True	True	0.380955	-1.392307504284449	Higher in Control	0.005541	True	True	1.0987505310368177	True	True
739	419	29131	58440	0.504309	-0.9876201227360729	Higher in Control	0.006657	True	True	0.630906	-0.6645030238094882	Higher in Control	0.008813	True	True	0.460636	-1.1183009286721337	Higher in Control	0.005541	True	True	0.4537979048626455	True	True
740	524	46182	90844	0.45091	-1.1490885893687224	Higher in Control	0.006657	True	True	0.718755	-0.4764280078384803	Higher in Control	0.008813	True	True	0.357028	-1.4858908725178837	Higher in Control	0.005541	True	True	1.0094628646794033	True	True
745	795	106144	209471	0.760264	-0.395427616653842	Higher in Control	0.006657	True	True	0.924185	-0.11374642087872762	Higher in Control	0.008813	True	True	0.728106	-0.4577795970154654	Higher in Control	0.005541	True	True	0.3440331761367378	True	True
746	908	139614	272164	0.856172	-0.2240274400599326	Higher in Control	0.006657	True	True	1.005038	0.007250050036180481	Higher in AD	1.0	False	False	0.817473	-0.2907570137070701	Higher in Control	0.005541	True	True	0.29800706374325053	True	True
747	444	32671	65675	1.196425	0.25872996184137986	Higher in AD	0.2313	False	False	1.341415	0.4237556397913928	Higher in AD	0.1851	False	False	1.163787	0.21882703576942628	Higher in AD	0.4627	False	False	0.20492860402196653	False	False
750	449	33573	67003	0.582774	-0.7789915807447029	Higher in Control	0.006657	True	True	0.800782	-0.32051854928812407	Higher in Control	0.008813	True	True	0.523511	-0.9337082435407873	Higher in Control	0.005541	True	True	0.6131896942526632	True	True
751	706	83817	165048	0.980039	-0.02908893342781896	Higher in Control	0.5635	False	False	1.057825	0.08110097668192581	Higher in AD	1.0	False	False	0.957694	-0.062363331621991425	Higher in Control	0.09628	False	True	0.14346430830391724	False	True
752	867	125248	250163	0.691079	-0.5330774546158938	Higher in Control	0.006657	True	True	0.879172	-0.1857826550337925	Higher in Control	0.008813	True	True	0.648946	-0.6238296609980024	Higher in Control	0.005541	True	True	0.4380470059642099	True	True
755	52	565	761	0.624082	-0.6801924933302043	Higher in Control	0.006657	True	True	0.700233	-0.5140930413835922	Higher in Control	0.0153	True	True	0.384083	-1.3805099851148668	Higher in Control	0.005541	True	True	0.8664169437312745	True	True
757	1002	167106	334395	0.769784	-0.3774744099175461	Higher in Control	0.006657	True	True	0.86245	-0.21348727502859915	Higher in Control	0.008813	True	True	0.751124	-0.41287699884182105	Higher in Control	0.005541	True	True	0.1993897238132219	True	True
763	992	168767	322769	0.87369	-0.19480661698831842	Higher in Control	0.006657	True	True	1.10164	0.13965284907530418	Higher in AD	0.2644	False	False	0.828131	-0.27206909274078606	Higher in Control	0.005541	True	True	0.41172194181609023	True	True
768	297	15060	28896	0.900809	-0.15070685340338413	Higher in Control	0.006657	True	True	1.176957	0.23506161262785957	Higher in AD	0.2644	False	False	0.814855	-0.2953847341843002	Higher in Control	0.005541	True	True	0.5304463468121599	True	True
771	1162	229786	444755	0.814462	-0.2960807057626548	Higher in Control	0.006657	True	True	0.898312	-0.15471148881164087	Higher in Control	0.008813	True	True	0.794208	-0.3324112017885189	Higher in Control	0.005541	True	True	0.17769971297687803	True	True
772	666	75846	145599	1.037163	0.05264264517518938	Higher in AD	0.7711	False	False	1.234857	0.304343983238483	Higher in AD	0.1851	False	False	0.995963	-0.005835947682387737	Higher in Control	0.7169	False	False	0.3101799309208707	False	False
787	340	20126	37504	0.529836	-0.9163822231371938	Higher in Control	0.006657	True	True	0.740693	-0.4330523919679553	Higher in Control	0.008813	True	True	0.463577	-1.1091191049214841	Higher in Control	0.005541	True	True	0.6760667129535288	True	True
788	361	24054	40926	0.573562	-0.8019786500448574	Higher in Control	0.006657	True	True	0.78451	-0.35013625781704905	Higher in Control	0.008813	True	True	0.493283	-1.0195125262622475	Higher in Control	0.005541	True	True	0.6693762684451985	True	True
792	270	12094	24221	0.58507	-0.7733188503429647	Higher in Control	0.006657	True	True	0.77661	-0.3647378106933484	Higher in Control	0.008813	True	True	0.512281	-0.9649927102471363	Higher in Control	0.005541	True	True	0.600254899553788	True	True
794	105	2560	2900	0.544015	-0.8782816637660354	Higher in Control	0.006657	True	True	0.588609	-0.7646184932205036	Higher in Control	0.008813	True	True	0.469922	-1.0895067839520576	Higher in Control	0.005541	True	True	0.324888290731554	True	True
795	316	16549	33221	0.672134	-0.5731792103007917	Higher in Control	0.006657	True	True	0.780121	-0.3582301855774959	Higher in Control	0.008813	True	True	0.643985	-0.6349010100841793	Higher in Control	0.005541	True	True	0.2766708245066834	True	True
798	81	1600	1640	0.662479	-0.5940533717596971	Higher in Control	0.006657	True	True	0.795691	-0.32971981401340517	Higher in Control	0.4853	False	False	0.473778	-1.077716886659153	Higher in Control	0.005541	True	True	0.7479970726457479	True	True
799	40	537	243	0.537303	-0.8961922016161272	Higher in Control	0.006657	True	True	0.562943	-0.8289392432397877	Higher in Control	0.07891	False	True	0.394536	-1.3417711478758374	Higher in Control	0.005541	True	True	0.5128319046360497	True	True
802	128	3297	4831	0.663218	-0.5924449322057874	Higher in Control	0.006657	True	True	0.806575	-0.31011940515519637	Higher in Control	0.008813	True	True	0.54331	-0.8801524938239398	Higher in Control	0.005541	True	True	0.5700330886687435	True	True
805	296	15297	28363	0.527521	-0.9226995679058059	Higher in Control	0.006657	True	True	0.64707	-0.6280063035502725	Higher in Control	0.008813	True	True	0.491188	-1.0256527796026496	Higher in Control	0.005541	True	True	0.397646476052377	True	True
807	380	23907	48103	0.567978	-0.8160930452728712	Higher in Control	0.006657	True	True	0.740899	-0.43265120840279275	Higher in Control	0.008813	True	True	0.526589	-0.9252507098710288	Higher in Control	0.005541	True	True	0.492599501468236	True	True
808	48	423	705	0.566955	-0.8186938638701536	Higher in Control	0.006657	True	True	0.607252	-0.7196327584653653	Higher in Control	0.008813	True	True	0.549066	-0.8649485173332477	Higher in Control	0.005541	True	True	0.1453157588678824	True	True
809	41	274	546	0.558061	-0.8415052674788339	Higher in Control	0.006657	True	True	0.59491	-0.7492566657519835	Higher in Control	0.01623	True	True	0.551963	-0.8573565335099814	Higher in Control	0.005541	True	True	0.10809986775799796	True	True
856	253	23447	8431	1.106629	0.14617163623837928	Higher in AD	0.4627	False	False	1.169763	0.22621626197996392	Higher in AD	0.347	False	False	0.519736	-0.9441491027995819	Higher in Control	0.005541	True	True	1.1703653647795458	True	True
867	248	28248	2380	1.210064	0.275083353318756	Higher in AD	0.2313	False	False	1.214511	0.2803755567284775	Higher in AD	0.1851	False	False	0.859369	-0.2186503591449704	Higher in Control	0.01633	True	True	0.4990259158734479	True	True
881	221	19680	4630	1.075724	0.10530797110252356	Higher in AD	0.6169	False	False	1.111156	0.15206137714737908	Higher in AD	1.0	False	False	0.682223	-0.551684701081462	Higher in Control	0.005541	True	True	0.703746078228841	True	True
884	45	786	204	1.209322	0.2741984347866142	Higher in AD	0.5784	False	False	1.253908	0.32643150060182746	Higher in AD	1.0	False	False	0.390406	-1.3569528695897182	Higher in Control	0.005541	True	True	1.6833843701915456	True	True
901	285	30844	9626	0.933788	-0.0988330460927922	Higher in Control	1.0	False	False	0.968667	-0.0459273012965849	Higher in Control	1.0	False	False	0.488741	-1.0328579589633675	Higher in Control	0.005541	True	True	0.9869306576667827	True	True
902	167	11674	2187	1.113228	0.15474910101996417	Higher in AD	0.5288	False	False	1.124354	0.16909633594809717	Higher in AD	1.0	False	False	0.485662	-1.0419754859320531	Higher in Control	0.005541	True	True	1.2110718218801504	True	True
904	154	9776	2005	1.040677	0.057522361810625706	Higher in AD	1.0	False	False	1.06097	0.08538386316773347	Higher in AD	1.0	False	False	0.558791	-0.8396193102887531	Higher in Control	0.005541	True	True	0.9250031734564866	True	True
905	106	4674	891	1.016076	0.023008316206951814	Higher in AD	1.0	False	False	1.021395	0.03054090180457579	Higher in AD	1.0	False	False	0.695205	-0.5244896366572813	Higher in Control	0.005541	True	True	0.5550305384618571	True	True
906	206	15611	5504	1.037427	0.053009822779294904	Higher in AD	1.0	False	False	1.068186	0.09516288102689148	Higher in AD	1.0	False	False	0.671267	-0.5750413747239396	Higher in Control	0.005541	True	True	0.6702042557508311	True	True
913	119	4062	2959	0.999712	-0.00041555601471481224	Higher in Control	1.0	False	False	1.093779	0.1293212684663756	Higher in AD	1.0	False	False	0.563594	-0.8272718420338542	Higher in Control	0.005541	True	True	0.9565931105002298	True	True
914	140	5543	4187	1.026015	0.03705182282354837	Higher in AD	1.0	False	False	1.106247	0.1456735427969989	Higher in AD	1.0	False	False	0.721643	-0.47064278894584416	Higher in Control	0.005541	True	True	0.6163163317428431	True	True
916	145	4696	5744	0.844767	-0.24337461656674822	Higher in Control	0.006657	True	True	1.023044	0.03286819514844938	Higher in AD	1.0	False	False	0.643602	-0.6357592856289885	Higher in Control	0.005541	True	True	0.6686274807774379	True	True
918	244	10503	19143	0.705975	-0.5023109992303174	Higher in Control	0.006657	True	True	0.916971	-0.12505198682249913	Higher in Control	0.02333	True	True	0.632457	-0.6609606988678983	Higher in Control	0.005541	True	True	0.5359087120453991	True	True
921	104	2895	2461	0.899543	-0.15273584798090692	Higher in Control	0.03726	True	True	1.014966	0.02143139987058657	Higher in AD	1.0	False	False	0.571855	-0.806278712394146	Higher in Control	0.005541	True	True	0.8277101122647326	True	True
923	228	8602	17276	0.433969	-1.2043361055439052	Higher in Control	0.006657	True	True	0.697002	-0.5207652990720828	Higher in Control	0.008813	True	True	0.349662	-1.5159670772057408	Higher in Control	0.005541	True	True	0.995201778133658	True	True
924	259	11056	22355	0.588565	-0.7647263423266318	Higher in Control	0.006657	True	True	0.853717	-0.2281701870559224	Higher in Control	0.008813	True	True	0.494333	-1.0164448757509508	Higher in Control	0.005541	True	True	0.7882746886950284	True	True
925	215	9654	13351	0.721747	-0.47043488909270387	Higher in Control	0.006657	True	True	0.933026	-0.10001081065017345	Higher in Control	0.3675	False	False	0.498185	-1.005246511187776	Higher in Control	0.005541	True	True	0.9052357005376025	True	True
930	41	486	334	1.186435	0.24663306324033685	Higher in AD	1.0	False	False	1.233544	0.302809176886239	Higher in AD	1.0	False	False	0.810974	-0.3022724328151558	Higher in Control	0.06994	False	True	0.6050816097013948	False	True
932	76	926	1924	1.018413	0.02632274041222613	Higher in AD	1.0	False	False	1.209553	0.27447398648354654	Higher in AD	1.0	False	False	0.886438	-0.17390836643745883	Higher in Control	0.06494	False	True	0.44838235292100537	False	True
933	91	3497	598	1.062112	0.08693590674927489	Higher in AD	1.0	False	False	1.065023	0.09088458690899387	Higher in AD	1.0	False	False	0.902052	-0.14871749291472589	Higher in Control	0.5251	False	False	0.23960207982371975	False	False
935	527	47195	91406	0.992294	-0.011160464697371964	Higher in Control	0.4886	False	False	0.99744	-0.003698034811443795	Higher in Control	0.1402	False	False	0.990629	-0.013583239366491095	Higher in Control	0.8534	False	False	0.0098852045550473	False	False
937	431	31957	60708	0.810285	-0.30349866124998875	Higher in Control	0.006657	True	True	0.932461	-0.10088470869719937	Higher in Control	0.008813	True	True	0.773096	-0.37128052145592294	Higher in Control	0.005541	True	True	0.2703958127587236	True	True
938	754	94512	189369	0.639908	-0.6440635920942513	Higher in Control	0.006657	True	True	0.719524	-0.47488528547076037	Higher in Control	0.008813	True	True	0.623426	-0.6817097710295146	Higher in Control	0.005541	True	True	0.2068244855587542	True	True
947	164	4445	8921	0.842163	-0.24782860205561183	Higher in Control	0.006657	True	True	0.938945	-0.09088744238761974	Higher in Control	0.07952	False	True	0.810484	-0.3031443895251723	Higher in Control	0.005541	True	True	0.21225694713755255	True	True
951	513	43642	87686	1.073611	0.10247135828649331	Higher in AD	0.4627	False	False	1.098864	0.1360128433692827	Higher in AD	1.0	False	False	1.068504	0.09559230881135222	Higher in AD	0.6169	False	False	0.04042053455793049	False	False
954	534	47502	94809	0.751489	-0.4121761081929561	Higher in Control	0.006657	True	True	0.797293	-0.32681809216980967	Higher in Control	0.008813	True	True	0.740621	-0.4331926377808294	Higher in Control	0.005541	True	True	0.10637454561101972	True	True
958	565	53526	105804	0.855122	-0.22579783133463935	Higher in Control	0.006657	True	True	0.863214	-0.21220983158276752	Higher in Control	0.008813	True	True	0.853025	-0.22934007099034381	Higher in Control	0.005541	True	True	0.017130239407576298	True	True
959	743	95649	180004	0.924043	-0.11396810640260178	Higher in Control	0.006657	True	True	1.041839	0.05913234877974489	Higher in AD	1.0	False	False	0.88884	-0.17000435185171758	Higher in Control	0.005541	True	True	0.22913670063146246	True	True
