cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
93	398	hsa04081	4081	Hormone signaling - Homo sapiens (human)	Environmental Information Processing	Signaling molecules and interaction	KEGG_hsa04081	0.0207613238742562	0.1209572782239274	False	1.0	1.0	False	0.1072639526033793	0.5775751294028119	False	1.0	1.0	False	8	438	146	51873	3	2	5	1	ENSG00000079337(DLPFC),ENSG00000120907(DLPFC),ENSG00000126351(DLPFC),ENSG00000139155(AC),ENSG00000155897(DLPFC),ENSG00000159899(PCGBA23),ENSG00000166603(AC),ENSG00000185532(DLPFC)	1.6827449565580432	0.9173679942108284
1632	574	hsa03022	3022	Basal transcription factors - Homo sapiens (human)	Genetic Information Processing	Transcription	KEGG_hsa03022	0.0099179311860281	0.1209987604695432	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	5	117	39	51873	3	2	1	2	ENSG00000112592(AC),ENSG00000112592(PCGBA23),ENSG00000165417(AC),ENSG00000270647(DLPFC),ENSG00000270647(PCGBA23)	2.0035789093169334	0.917219078642185
1644	186	hsa04120	4120	Ubiquitin mediated proteolysis - Homo sapiens (human)	Genetic Information Processing	Folding, sorting and degradation	KEGG_hsa04120	0.0157890933874301	0.1210497159702976	False	1.0	1.0	False	0.0403606428607348	1.0	False	1.0	1.0	False	5	405	135	51873	3	1	3	1	ENSG00000053900(DLPFC),ENSG00000053900(PCGBA23),ENSG00000089053(DLPFC),ENSG00000100023(DLPFC),ENSG00000143947(AC)	1.801642806542708	0.9170362252447776
396	302	hsa04152	4152	AMPK signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction	KEGG_hsa04152	0.0433509697738915	0.1212097780900635	False	0.004238063249518	0.3592126765468519	False	1.0	1.0	False	1.0	1.0	False	5	327	109	51873	3	4	1	0	ENSG00000076555(AC),ENSG00000102547(AC),ENSG00000118689(AC),ENSG00000118689(DLPFC),ENSG00000124253(AC)	1.3630011827843356	0.916462343872155
396	302	hsa04722	4722	Neurotrophin signaling pathway - Homo sapiens (human)	Organismal Systems	Nervous system	KEGG_hsa04722	0.0447727054014321	0.1212097780900635	False	0.0287031726013714	0.772777723883078	False	1.0	1.0	False	1.0	1.0	False	5	330	110	51873	3	3	2	0	ENSG00000118689(AC),ENSG00000118689(DLPFC),ENSG00000129007(AC),ENSG00000129007(DLPFC),ENSG00000134313(AC)	1.348986662475734	0.916462343872155
396	302	hsa00230	230	Purine metabolism - Homo sapiens (human)	Metabolism	Nucleotide metabolism	KEGG_hsa00230	0.0462220734873293	0.1212097780900635	False	1.0	1.0	False	1.0	1.0	False	0.0207959727862889	1.0	False	5	333	111	51873	3	0	2	3	ENSG00000076685(DLPFC),ENSG00000076685(PCGBA23),ENSG00000137198(DLPFC),ENSG00000137198(PCGBA23),ENSG00000138031(PCGBA23)	1.3351505762972566	0.916462343872155
396	302	hsa05412	5412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	Human Diseases	Cardiovascular disease	KEGG_hsa05412	0.0468037756981433	0.1212097780900635	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	4	231	77	51873	3	1	2	1	ENSG00000077943(DLPFC),ENSG00000148737(DLPFC),ENSG00000173801(AC),ENSG00000173801(PCGBA23)	1.3297191106282984	0.916462343872155
1541	636	hsa05135	5135	Yersinia infection - Homo sapiens (human)	Human Diseases	Infectious disease: bacterial	KEGG_hsa05135	0.02125234646538	0.1212657632274957	False	1.0	1.0	False	1.0	1.0	False	0.0077743740561311	0.2721030919645914	False	10	384	128	51873	3	1	2	7	ENSG00000076984(PCGBA23),ENSG00000108984(PCGBA23),ENSG00000117020(PCGBA23),ENSG00000134318(DLPFC),ENSG00000134318(PCGBA23),ENSG00000145675(DLPFC),ENSG00000169750(PCGBA23),ENSG00000171475(PCGBA23),ENSG00000177189(AC),ENSG00000183735(PCGBA23)	1.6725931126391953	0.9162617955071088
1541	636	hsa05220	5220	Chronic myeloid leukemia - Homo sapiens (human)	Human Diseases	Cancer: specific types	KEGG_hsa05220	0.0217297032372969	0.1212657632274957	False	1.0	1.0	False	1.0	1.0	False	0.1474459576633007	0.7819103815478069	False	7	225	75	51873	3	2	2	3	ENSG00000100485(AC),ENSG00000101412(DLPFC),ENSG00000101412(PCGBA23),ENSG00000105810(AC),ENSG00000117020(PCGBA23),ENSG00000133703(PCGBA23),ENSG00000145675(DLPFC)	1.6629462048016317	0.9162617955071088
637	660	hsa04710	4710	Circadian rhythm - Homo sapiens (human)	Organismal Systems	Environmental adaptation	KEGG_hsa04710	0.0344945806683769	0.1213539385598874	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	4	96	32	51873	3	2	1	1	ENSG00000008405(AC),ENSG00000008405(DLPFC),ENSG00000008405(PCGBA23),ENSG00000069667(AC)	1.4622491301641725	0.9159461240121596
