module	module_size	cluster_type	tissues	n_tissues	dominant_tissue	n_genes_ac	n_genes_dlpfc	n_genes_pcg	proportion_ac	proportion_dlpfc	proportion_pcg
1314	571	CT	AC, DLPFC, PCG	3	DLPFC	144	264	163	0.2521891419	0.4623467601	0.2854640981
1317	416	CT	AC, DLPFC, PCG	3	DLPFC	68	199	149	0.1634615385	0.4783653846	0.3581730769
1396	326	TS	AC, DLPFC, PCG	3	PCG	2	6	318	0.006134969325	0.01840490798	0.9754601227
1402	222	CT	AC, DLPFC, PCG	3	PCG	7	16	199	0.03153153153	0.07207207207	0.8963963964
1403	302	TS	AC, DLPFC, PCG	3	PCG	3	9	290	0.009933774834	0.0298013245	0.9602649007
1405	73	TS	AC, DLPFC, PCG	3	PCG	2	1	70	0.02739726027	0.01369863014	0.9589041096
1460	295	TS	DLPFC, PCG	2	PCG	0	1	294	0	0.003389830508	0.9966101695
1464	368	TS	AC, DLPFC, PCG	3	PCG	2	3	363	0.005434782609	0.008152173913	0.9864130435
1477	267	CT	AC, DLPFC, PCG	3	PCG	17	22	228	0.06367041199	0.08239700375	0.8539325843
1505	110	CT	AC, DLPFC, PCG	3	PCG	2	4	104	0.01818181818	0.03636363636	0.9454545455
1506	116	CT	AC, DLPFC, PCG	3	PCG	14	13	89	0.1206896552	0.1120689655	0.7672413793
1508	64	TS	PCG	1	PCG	0	0	64	0	0	1
1509	80	CT	AC, DLPFC, PCG	3	PCG	2	6	72	0.025	0.075	0.9
1510	74	CT	AC, DLPFC, PCG	3	PCG	3	7	64	0.04054054054	0.09459459459	0.8648648649
1533	574	CT	AC, DLPFC, PCG	3	DLPFC	101	287	186	0.1759581882	0.5	0.3240418118
1535	678	CT	AC, DLPFC, PCG	3	DLPFC	210	242	226	0.3097345133	0.3569321534	0.3333333333
1537	667	CT	AC, DLPFC, PCG	3	PCG	193	227	247	0.2893553223	0.3403298351	0.3703148426
1541	636	CT	AC, DLPFC, PCG	3	PCG	103	227	306	0.1619496855	0.356918239	0.4811320755
1543	707	CT	AC, DLPFC, PCG	3	DLPFC	220	266	221	0.3111739745	0.3762376238	0.3125884017
1547	848	CT	AC, DLPFC, PCG	3	DLPFC	280	287	281	0.3301886792	0.3384433962	0.3313679245
1548	507	CT	AC, DLPFC, PCG	3	DLPFC	172	179	156	0.3392504931	0.3530571992	0.3076923077
1556	190	CT	AC, DLPFC, PCG	3	AC	122	18	50	0.6421052632	0.09473684211	0.2631578947
1557	190	CT	AC, DLPFC, PCG	3	DLPFC	60	78	52	0.3157894737	0.4105263158	0.2736842105
1563	85	CT	AC, DLPFC, PCG	3	AC	51	21	13	0.6	0.2470588235	0.1529411765
1564	132	CT	AC, DLPFC, PCG	3	AC	72	30	30	0.5454545455	0.2272727273	0.2272727273
1567	1042	CT	AC, DLPFC, PCG	3	DLPFC	231	423	388	0.2216890595	0.405950096	0.3723608445
1572	1357	CT	AC, DLPFC, PCG	3	DLPFC	394	511	452	0.2903463522	0.3765659543	0.3330876934
1579	99	CT	AC, DLPFC, PCG	3	AC	94	3	2	0.9494949495	0.0303030303	0.0202020202
1580	108	CT	AC, DLPFC, PCG	3	AC	97	6	5	0.8981481481	0.05555555556	0.0462962963
1581	103	TS	AC	1	AC	103	0	0	1	0	0
1582	106	TS	AC, DLPFC, PCG	3	AC	102	3	1	0.9622641509	0.02830188679	0.009433962264
1590	119	CT	AC, DLPFC, PCG	3	PCG	4	7	108	0.03361344538	0.05882352941	0.9075630252
1591	122	CT	AC, DLPFC, PCG	3	DLPFC	4	99	19	0.03278688525	0.8114754098	0.1557377049
1592	157	CT	AC, DLPFC, PCG	3	AC	54	52	51	0.3439490446	0.3312101911	0.3248407643
1598	149	CT	AC, DLPFC, PCG	3	DLPFC	50	53	46	0.3355704698	0.355704698	0.3087248322
1599	59	CT	AC, DLPFC, PCG	3	AC	26	20	13	0.4406779661	0.3389830508	0.2203389831
1600	58	CT	AC, DLPFC, PCG	3	AC	23	22	13	0.3965517241	0.3793103448	0.224137931
1603	157	CT	AC, DLPFC, PCG	3	AC	57	54	46	0.3630573248	0.3439490446	0.2929936306
1604	173	CT	AC, DLPFC, PCG	3	AC	66	52	55	0.3815028902	0.3005780347	0.3179190751
1630	356	CT	AC, DLPFC, PCG	3	DLPFC	90	179	87	0.2528089888	0.5028089888	0.2443820225
1632	574	CT	AC, DLPFC, PCG	3	DLPFC	175	201	198	0.3048780488	0.350174216	0.3449477352
1634	350	CT	AC, DLPFC, PCG	3	AC	128	118	104	0.3657142857	0.3371428571	0.2971428571
1639	713	CT	AC, DLPFC, PCG	3	DLPFC	131	339	243	0.1837307153	0.4754558205	0.3408134642
1640	63	CT	AC, DLPFC, PCG	3	AC	38	15	10	0.6031746032	0.2380952381	0.1587301587
1643	1039	CT	AC, DLPFC, PCG	3	DLPFC	289	396	354	0.2781520693	0.3811357074	0.3407122233
1644	186	CT	AC, DLPFC, PCG	3	DLPFC	37	97	52	0.1989247312	0.5215053763	0.2795698925
1649	309	CT	AC, DLPFC, PCG	3	AC	172	46	91	0.5566343042	0.1488673139	0.2944983819
1650	288	CT	AC, DLPFC, PCG	3	AC	175	32	81	0.6076388889	0.1111111111	0.28125
1653	206	CT	AC, DLPFC, PCG	3	AC	124	25	57	0.6019417476	0.1213592233	0.2766990291
1654	189	CT	AC, DLPFC, PCG	3	AC	104	15	70	0.5502645503	0.07936507937	0.3703703704
1671	662	CT	AC, DLPFC, PCG	3	DLPFC	226	232	204	0.3413897281	0.3504531722	0.3081570997
1710	93	CT	AC, DLPFC, PCG	3	DLPFC	23	36	34	0.247311828	0.3870967742	0.3655913978
1726	35	CT	AC, DLPFC, PCG	3	DLPFC	9	17	9	0.2571428571	0.4857142857	0.2571428571
1730	125	CT	AC, DLPFC, PCG	3	AC	50	41	34	0.4	0.328	0.272
1757	857	CT	AC, DLPFC, PCG	3	AC	328	277	252	0.3827304551	0.3232205368	0.2940490082
1806	382	CT	AC, DLPFC, PCG	3	PCG	9	67	306	0.02356020942	0.1753926702	0.8010471204
1823	262	CT	AC, DLPFC, PCG	3	DLPFC	36	162	64	0.1374045802	0.6183206107	0.2442748092
1831	604	CT	AC, DLPFC, PCG	3	AC	252	176	176	0.417218543	0.2913907285	0.2913907285
1849	92	CT	AC, DLPFC, PCG	3	PCG	23	29	40	0.25	0.3152173913	0.4347826087
1861	111	CT	AC, DLPFC, PCG	3	PCG	31	38	42	0.2792792793	0.3423423423	0.3783783784
1901	235	CT	AC, DLPFC, PCG	3	DLPFC	20	139	76	0.08510638298	0.5914893617	0.3234042553
1903	136	CT	AC, DLPFC, PCG	3	PCG	33	44	59	0.2426470588	0.3235294118	0.4338235294
1904	477	CT	AC, DLPFC, PCG	3	DLPFC	133	198	146	0.2788259958	0.4150943396	0.3060796646
1905	466	CT	AC, DLPFC, PCG	3	DLPFC	144	168	154	0.3090128755	0.3605150215	0.330472103
1907	404	CT	AC, DLPFC, PCG	3	AC	148	122	134	0.3663366337	0.301980198	0.3316831683
1918	542	CT	AC, DLPFC, PCG	3	AC	204	159	179	0.3763837638	0.2933579336	0.3302583026
1969	639	CT	AC, DLPFC, PCG	3	PCG	222	184	233	0.3474178404	0.2879499218	0.3646322379
1982	698	CT	AC, DLPFC, PCG	3	DLPFC	206	250	242	0.2951289398	0.3581661891	0.3467048711
1996	30	CT	AC, DLPFC, PCG	3	AC	22	2	6	0.7333333333	0.06666666667	0.2
2198	42	CT	AC, DLPFC, PCG	3	PCG	15	6	21	0.3571428571	0.1428571429	0.5
2394	30	TS	AC, PCG	2	PCG	1	0	29	0.03333333333	0	0.9666666667
