ensembl_id	ensembl_base	gene_symbol
ENSG00000124486.12	ENSG00000124486	USP9X
ENSG00000124491.15	ENSG00000124491	F13A1
ENSG00000124493.13	ENSG00000124493	GRM4
ENSG00000124496.12	ENSG00000124496	TRERF1
ENSG00000124507.10	ENSG00000124507	PACSIN1
ENSG00000124508.16	ENSG00000124508	BTN2A2
ENSG00000124523.15	ENSG00000124523	SIRT5
ENSG00000124532.14	ENSG00000124532	MRS2
ENSG00000124535.15	ENSG00000124535	WRNIP1
ENSG00000124541.6	ENSG00000124541	RRP36
ENSG00000124562.9	ENSG00000124562	SNRPC
ENSG00000124570.17	ENSG00000124570	SERPINB6
ENSG00000124571.17	ENSG00000124571	XPO5
ENSG00000124574.14	ENSG00000124574	ABCC10
ENSG00000124575.6	ENSG00000124575	HIST1H1D
ENSG00000124587.13	ENSG00000124587	PEX6
ENSG00000124588.19	ENSG00000124588	NQO2
ENSG00000124593.15	ENSG00000124593	AL365205.1
ENSG00000124596.16	ENSG00000124596	OARD1
ENSG00000124602.9	ENSG00000124602	UNC5CL
ENSG00000124608.4	ENSG00000124608	AARS2
ENSG00000124610.4	ENSG00000124610	HIST1H1A
ENSG00000124613.8	ENSG00000124613	ZNF391
ENSG00000124614.13	ENSG00000124614	RPS10
ENSG00000124615.17	ENSG00000124615	MOCS1
ENSG00000124635.8	ENSG00000124635	HIST1H2BJ
ENSG00000124641.15	ENSG00000124641	MED20
ENSG00000124659.6	ENSG00000124659	TBCC
ENSG00000124664.10	ENSG00000124664	SPDEF
ENSG00000124688.13	ENSG00000124688	MAD2L1BP
ENSG00000124702.17	ENSG00000124702	KLHDC3
ENSG00000124733.3	ENSG00000124733	MEA1
ENSG00000124749.16	ENSG00000124749	COL21A1
ENSG00000124762.13	ENSG00000124762	CDKN1A
ENSG00000124766.6	ENSG00000124766	SOX4
ENSG00000124767.6	ENSG00000124767	GLO1
ENSG00000124772.11	ENSG00000124772	CPNE5
ENSG00000124782.19	ENSG00000124782	RREB1
ENSG00000124783.12	ENSG00000124783	SSR1
ENSG00000124784.8	ENSG00000124784	RIOK1
ENSG00000124785.8	ENSG00000124785	NRN1
ENSG00000124786.9	ENSG00000124786	SLC35B3
ENSG00000124787.13	ENSG00000124787	RPP40
ENSG00000124788.17	ENSG00000124788	ATXN1
ENSG00000124789.11	ENSG00000124789	NUP153
ENSG00000124795.14	ENSG00000124795	DEK
ENSG00000124802.11	ENSG00000124802	EEF1E1
ENSG00000124813.20	ENSG00000124813	RUNX2
ENSG00000124831.18	ENSG00000124831	LRRFIP1
ENSG00000124920.13	ENSG00000124920	MYRF
ENSG00000124942.13	ENSG00000124942	AHNAK
ENSG00000125037.12	ENSG00000125037	EMC3
ENSG00000125046.14	ENSG00000125046	SSUH2
ENSG00000125089.16	ENSG00000125089	SH3TC1
ENSG00000125107.17	ENSG00000125107	CNOT1
ENSG00000125122.15	ENSG00000125122	LRRC29
ENSG00000125124.11	ENSG00000125124	BBS2
ENSG00000125144.13	ENSG00000125144	MT1G
ENSG00000125148.6	ENSG00000125148	MT2A
ENSG00000125149.11	ENSG00000125149	C16orf70
ENSG00000125166.12	ENSG00000125166	GOT2
ENSG00000125170.10	ENSG00000125170	DOK4
ENSG00000125246.15	ENSG00000125246	CLYBL
ENSG00000125247.15	ENSG00000125247	TMTC4
ENSG00000125249.6	ENSG00000125249	RAP2A
ENSG00000125257.13	ENSG00000125257	ABCC4
ENSG00000125266.6	ENSG00000125266	EFNB2
ENSG00000125285.5	ENSG00000125285	SOX21
ENSG00000125304.8	ENSG00000125304	TM9SF2
ENSG00000125337.16	ENSG00000125337	KIF25
ENSG00000125347.13	ENSG00000125347	IRF1
ENSG00000125351.11	ENSG00000125351	UPF3B
